,일자,종로구,마포구,강서구,구로구,영등포구,동작구,관악구,강남구,강동구,송파구,서초구,중구,양천구,중랑구,노원구,광진구,강북구,금천구,용산구,성동구,동대문구,성북구,도봉구,은평구,서대문구
0,2023-01-01,0,2,2,0,3,4,3,4,1,5,1,0,1,2,1,1,1,2,4,4,5,4,0,3,2
1,2023-01-02,3,1,3,2,4,4,2,5,6,5,4,5,1,1,4,3,2,1,0,5,1,0,0,0,1
2,2023-01-03,4,4,2,2,6,2,3,15,1,4,2,1,3,5,2,0,3,3,3,2,4,4,3,4,3
3,2023-01-04,6,5,3,1,4,1,1,13,5,10,6,5,2,5,3,3,1,4,3,7,4,3,3,3,2
4,2023-01-05,6,2,8,3,3,5,2,13,4,8,7,3,2,4,4,3,4,5,8,1,4,4,1,4,0
5,2023-01-06,0,2,4,5,9,7,2,13,3,10,4,4,3,1,3,2,3,3,3,6,10,6,0,7,4
6,2023-01-07,1,0,5,4,6,2,1,6,4,4,4,1,1,2,5,3,3,2,4,1,4,4,0,3,1
7,2023-01-08,3,4,2,2,1,3,2,7,4,4,1,2,3,2,1,0,0,2,2,1,5,0,0,3,2
8,2023-01-09,2,1,1,2,2,5,2,13,1,3,9,0,1,0,6,1,4,2,2,0,2,4,1,2,4
9,2023-01-10,2,2,5,1,5,2,2,8,4,5,5,6,5,6,1,6,3,1,1,5,4,4,1,7,2
10,2023-01-11,3,1,3,3,3,4,2,15,1,11,6,4,3,1,4,1,3,6,3,1,7,8,1,3,4
11,2023-01-12,7,6,7,4,1,5,2,6,5,8,2,5,5,4,2,0,3,2,2,2,1,3,1,2,1
12,2023-01-13,3,3,5,2,5,2,4,19,4,9,7,1,3,3,7,1,1,1,1,3,2,1,0,3,2
13,2023-01-14,2,4,4,3,3,3,0,11,7,8,4,3,4,1,2,2,2,4,1,3,3,3,1,2,3
14,2023-01-15,4,2,3,3,3,0,7,2,1,6,2,2,2,2,2,2,5,0,2,2,2,2,2,1,3
15,2023-01-16,1,3,4,3,3,0,2,5,3,7,6,2,2,2,5,1,2,4,2,2,5,3,0,5,5
16,2023-01-17,4,4,1,3,6,4,3,19,3,8,7,2,2,6,2,0,4,3,2,3,6,5,1,1,0
17,2023-01-18,1,2,9,6,11,4,0,7,5,4,4,2,2,4,5,3,1,1,2,1,3,3,0,4,3
18,2023-01-19,0,3,6,5,4,1,0,6,3,8,6,2,1,4,3,2,3,5,4,2,4,7,1,1,2
19,2023-01-20,1,3,4,8,7,9,6,7,5,7,8,1,6,3,4,0,4,6,1,1,7,3,2,1,4
20,2023-01-21,2,3,1,4,0,2,0,7,3,6,2,0,0,2,2,0,1,0,1,4,3,3,4,2,2
21,2023-01-22,0,2,4,0,1,4,0,4,1,6,1,1,2,4,2,2,3,1,3,2,0,4,0,1,1
22,2023-01-23,1,2,2,0,5,3,1,4,2,3,5,2,3,1,2,1,3,2,1,0,2,2,0,3,2
23,2023-01-24,0,1,0,1,3,4,2,1,2,4,1,0,3,4,1,1,0,2,2,1,5,2,1,2,3
24,2023-01-25,1,1,3,6,3,1,3,10,2,6,3,2,2,3,2,1,3,3,3,3,1,1,0,3,0
25,2023-01-26,5,0,1,1,5,1,0,6,0,7,1,1,1,1,1,2,0,0,0,2,2,0,0,1,0
