일자,요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
20240901,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,474 ,355 ,280 ,200 ,199 ,351 ,589 ,793 ,1155 ,1533 ,1754 ,1732 ,1721 ,1736 ,1662 ,1706 ,1653 ,1572 ,1195 ,1090 ,972 ,965 ,782 ,503 
20240902,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,322 ,195 ,153 ,153 ,287 ,733 ,1857 ,2558 ,2479 ,2164 ,1808 ,1900 ,1725 ,1663 ,1728 ,1806 ,1865 ,1888 ,1711 ,1401 ,1240 ,1092 ,991 ,676 
20240903,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,474 ,335 ,236 ,169 ,296 ,749 ,1799 ,2585 ,2586 ,2153 ,1991 ,1999 ,1763 ,1741 ,1712 ,1846 ,1937 ,1929 ,1960 ,1612 ,1262 ,1209 ,1037 ,839 
20240904,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,519 ,381 ,244 ,202 ,296 ,661 ,1682 ,2497 ,2436 ,2098 ,1950 ,1888 ,1707 ,1745 ,1768 ,2004 ,1847 ,2114 ,1861 ,1559 ,1283 ,1183 ,1019 ,751 
20240905,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,569 ,419 ,286 ,227 ,297 ,694 ,1692 ,2494 ,2365 ,2157 ,1898 ,1877 ,1747 ,1685 ,1723 ,1901 ,1949 ,2051 ,1699 ,1355 ,1243 ,1300 ,1165 ,850 
20240906,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,547 ,385 ,287 ,232 ,323 ,763 ,1711 ,2452 ,2407 ,2097 ,1950 ,2019 ,1897 ,1790 ,1942 ,2056 ,2075 ,2251 ,1894 ,1582 ,1227 ,1266 ,1110 ,837 
20240907,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,599 ,445 ,376 ,296 ,308 ,547 ,964 ,1068 ,1553 ,1839 ,2014 ,2017 ,2009 ,1976 ,1868 ,1986 ,1961 ,1874 ,1581 ,1145 ,1048 ,1049 ,1016 ,708 
20240908,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,442 ,322 ,278 ,210 ,213 ,345 ,609 ,814 ,1160 ,1606 ,1731 ,1668 ,1736 ,1708 ,1648 ,1722 ,1525 ,1562 ,1274 ,1057 ,1157 ,1083 ,809 ,574 
20240909,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,355 ,231 ,184 ,171 ,270 ,752 ,1905 ,2621 ,2433 ,2136 ,1985 ,1996 ,1738 ,1707 ,1757 ,1858 ,1910 ,1974 ,1806 ,1393 ,1256 ,1222 ,1008 ,785 
20240910,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,519 ,280 ,250 ,184 ,327 ,777 ,1789 ,2486 ,2439 ,2105 ,1983 ,1946 ,1895 ,1840 ,1856 ,1949 ,2124 ,2274 ,1840 ,1529 ,1240 ,1258 ,1218 ,767 
20240911,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,523 ,343 ,271 ,193 ,301 ,705 ,1743 ,2515 ,2415 ,1946 ,1869 ,1943 ,1865 ,1808 ,1903 ,1979 ,1908 ,2167 ,1793 ,1458 ,1115 ,1177 ,1049 ,726 
20240912,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,520 ,386 ,272 ,210 ,287 ,707 ,1638 ,2368 ,2433 ,2205 ,1922 ,1952 ,1955 ,1865 ,1855 ,1976 ,2142 ,2236 ,1974 ,1536 ,1269 ,1389 ,1143 ,751 
20240913,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,516 ,419 ,314 ,213 ,321 ,711 ,1577 ,2439 ,2405 ,2049 ,1901 ,1898 ,1778 ,1738 ,1883 ,1926 ,1970 ,2066 ,1892 ,1272 ,1042 ,1069 ,1079 ,764 
20240914,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,528 ,416 ,290 ,250 ,302 ,405 ,715 ,793 ,1191 ,1490 ,1713 ,1809 ,1815 ,1825 ,1676 ,1717 ,1669 ,1523 ,1310 ,1067 ,974 ,992 ,826 ,578 
20240915,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,372 ,318 ,235 ,175 ,190 ,327 ,499 ,661 ,1021 ,1334 ,1582 ,1674 ,1755 ,1636 ,1545 ,1348 ,1438 ,1349 ,1158 ,975 ,859 ,823 ,654 ,473 
20240916,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,360 ,233 ,183 ,134 ,183 ,245 ,422 ,429 ,671 ,955 ,1273 ,1925 ,1730 ,1479 ,1338 ,1274 ,1316 ,1212 ,1028 ,820 ,800 ,701 ,547 ,449 
20240917,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,251 ,157 ,148 ,113 ,135 ,218 ,380 ,716 ,933 ,1000 ,1404 ,2003 ,1967 ,1781 ,1763 ,1673 ,1602 ,1436 ,1094 ,847 ,859 ,811 ,665 ,422 
20240918,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,309 ,222 ,160 ,101 ,149 ,246 ,375 ,456 ,643 ,855 ,1137 ,1347 ,1451 ,1411 ,1447 ,1301 ,1313 ,1223 ,1106 ,901 ,850 ,797 ,682 ,508 
20240919,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,288 ,218 ,160 ,132 ,262 ,703 ,1630 ,2437 ,2220 ,1832 ,1724 ,1556 ,1639 ,1623 ,1722 ,1686 ,1833 ,1724 ,1694 ,1245 ,1109 ,1063 ,1050 ,738 
20240920,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,447 ,322 ,236 ,201 ,281 ,658 ,1607 ,2418 ,2267 ,2040 ,1821 ,1820 ,1588 ,1676 ,1757 ,1668 ,1741 ,1893 ,1501 ,1239 ,1005 ,1003 ,921 ,602 
20240921,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,465 ,377 ,340 ,252 ,230 ,443 ,765 ,911 ,1353 ,1682 ,1862 ,1892 ,1875 ,1919 ,1702 ,1684 ,1700 ,1559 ,1443 ,1106 ,1005 ,1000 ,896 ,710 
20240922,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,462 ,353 ,285 ,218 ,212 ,341 ,641 ,823 ,1174 ,1514 ,1694 ,1596 ,1630 ,1661 ,1698 ,1500 ,1412 ,1451 ,1269 ,1063 ,980 ,955 ,814 ,590 
20240923,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,386 ,217 ,196 ,163 ,292 ,804 ,1862 ,2624 ,2496 ,2024 ,1764 ,1824 ,1768 ,1686 ,1728 ,1826 ,1737 ,1829 ,1783 ,1374 ,1221 ,1173 ,1048 ,761 
20240924,화,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,511 ,290 ,257 ,209 ,314 ,753 ,1688 ,2460 ,2457 ,2047 ,1911 ,1926 ,1870 ,1739 ,1785 ,1940 ,1860 ,2056 ,1850 ,1404 ,1251 ,1315 ,1204 ,747 
20240925,수,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,582 ,379 ,246 ,196 ,322 ,734 ,1732 ,2564 ,2414 ,1958 ,1960 ,2001 ,1757 ,1820 ,1823 ,1901 ,1975 ,1959 ,1866 ,1441 ,1251 ,1282 ,1077 ,822 
20240926,목,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,509 ,354 ,288 ,204 ,324 ,689 ,1619 ,2480 ,2092 ,1864 ,1734 ,1808 ,1820 ,1727 ,1844 ,1833 ,1914 ,2059 ,1869 ,1656 ,1348 ,1305 ,1137 ,807 
20240927,금,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,559 ,427 ,313 ,248 ,319 ,758 ,1731 ,2516 ,2368 ,1991 ,2028 ,2074 ,1841 ,1729 ,1890 ,1916 ,2046 ,2068 ,1825 ,1421 ,1290 ,1180 ,1171 ,881 
20240928,토,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,571 ,424 ,374 ,258 ,359 ,519 ,1008 ,1130 ,1510 ,1818 ,1624 ,2031 ,1953 ,1743 ,1780 ,1709 ,1916 ,1513 ,1555 ,1214 ,1097 ,1210 ,966 ,758 
20240929,일,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,490 ,357 ,293 ,247 ,231 ,322 ,617 ,816 ,510 ,1543 ,1723 ,1794 ,1605 ,1717 ,1588 ,1576 ,1571 ,1387 ,1303 ,1251 ,1168 ,1026 ,778 ,542 
20240930,월,성산로(금화터널),A-01,유입,봉원고가차도->독립문역,328 ,248 ,208 ,182 ,275 ,782 ,1844 ,2649 ,2458 ,2145 ,1968 ,1976 ,1764 ,1736 ,1756 ,1903 ,1870 ,1953 ,1690 ,1384 ,1281 ,1229 ,1081 ,720 
20240901,일,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,637 ,485 ,352 ,278 ,264 ,294 ,402 ,508 ,743 ,974 ,1245 ,1161 ,1333 ,1545 ,1666 ,1646 ,1547 ,1614 ,1397 ,1242 ,1241 ,1009 ,850 ,572 
20240902,월,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,423 ,318 ,233 ,201 ,259 ,414 ,837 ,1543 ,1677 ,1526 ,1435 ,1338 ,1265 ,1585 ,1472 ,1536 ,1620 ,1846 ,1853 ,1827 ,1487 ,1318 ,1135 ,690 
20240903,화,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,583 ,435 ,302 ,245 ,269 ,430 ,819 ,1564 ,1660 ,1612 ,1526 ,1373 ,1442 ,1524 ,1669 ,1637 ,1514 ,1965 ,2040 ,1804 ,1595 ,1543 ,1242 ,1101 
20240904,수,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,734 ,473 ,336 ,271 ,278 ,496 ,847 ,1624 ,1647 ,1536 ,1499 ,1399 ,1346 ,1483 ,1697 ,1667 ,1667 ,1689 ,1659 ,1662 ,1783 ,1667 ,1062 ,870 
20240905,목,성산로(금화터널),A-01,유출,독립문역->봉원고가차도,702 ,511 ,370 ,290 ,322 ,440 ,900 ,1545 ,1656 ,1559 ,1504 ,1414 ,1277 ,1658 ,1430 ,1737 ,1672 ,1748 ,2102 ,1836 ,1607 ,1499 ,1358 ,1028 
